"Name","ModelType","SensorMode","SensorRawDim","UseFlexPosture","Accuracy","MacroF1","Path"
"friend_gate_raw_alpha03_seed42","vision_guided_sensor_gate_lstm","all","26",,"0.9643","0.996","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed42"
"friend_gate_raw_alpha03_seed43","vision_guided_sensor_gate_lstm","all","26",,"0.9","0.9946","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed43"
"friend_gate_raw_alpha03_seed44","vision_guided_sensor_gate_lstm","all","26",,"0.8929","1","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed44"
"friend_gate_raw_alpha03_seed45","vision_guided_sensor_gate_lstm","all","26",,"0.8393","0.9839","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed45"
"friend_gate_raw_alpha03_seed46","vision_guided_sensor_gate_lstm","all","26",,"0.9464","0.9798","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed46"
"friend_gate_raw_alpha03_seed47","vision_guided_sensor_gate_lstm","all","26",,"0.9464","1","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed47"
"friend_gate_raw_alpha03_seed48","vision_guided_sensor_gate_lstm","all","26",,"0.8929","0.9798","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed48"
"friend_gate_raw_alpha03_seed49","vision_guided_sensor_gate_lstm","all","26",,"0.9464","1","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed49"
"friend_gate_raw_alpha03_seed50","vision_guided_sensor_gate_lstm","all","26",,"0.8","0.9946","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed50"
"friend_gate_raw_alpha03_seed51","vision_guided_sensor_gate_lstm","all","26",,"0.8929","0.9879","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha03_seed51"
"friend_gate_raw_alpha05_seed42","vision_guided_sensor_gate_lstm","all","26",,"0.9464","1","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha05_seed42"
"friend_gate_raw_alpha05_seed43","vision_guided_sensor_gate_lstm","all","26",,"0.8875","0.9946","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha05_seed43"
"friend_gate_raw_alpha05_seed44","vision_guided_sensor_gate_lstm","all","26",,"0.9107","1","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha05_seed44"
"friend_gate_raw_alpha07_seed42","vision_guided_sensor_gate_lstm","all","26",,"0.9643","0.996","C:\SignProject2\gksdydtjr\gksdydtjr\friend_gate_raw_alpha07_seed42"
"fusion_gate_stable","vision_guided_sensor_gate_lstm",,"26",,"0.9643","1","C:\SignProject2\gksdydtjr\gksdydtjr\fusion_gate_stable"
"stable_compare_fusion","vision_guided_sensor_gate_lstm",,"26",,"0.9643","1","C:\SignProject2\gksdydtjr\gksdydtjr\stable_compare_fusion"
"stable_compare_vision_only","vision_only_lstm",,"26",,"0.8571","1","C:\SignProject2\gksdydtjr\gksdydtjr\stable_compare_vision_only"
"vision_results_from_fusion_hold_v4_flags","lstm",,,,"0.9286","0.9218","C:\SignProject2\vision_results_from_fusion_hold_v4_flags"
"vision_results_from_fusion_hold_v4_flags_no_s4","lstm",,,,"1","0.994","C:\SignProject2\vision_results_from_fusion_hold_v4_flags_no_s4"
